NUMBER OF SCRIPLESS SHARES BASED ON INVESTOR TYPE AND CLASSIFICATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL SCRIPLESS
DATE;SHARE CODE;ISSUER NAME;BANK;GOVERNMENT;PRIVATE EQUITY;TRUSTEE BANK;VENTURE CAPITAL;PRIVATE BANK;EXCHANGE TRADED FUNDS;INVESTMENT MANAGER;INVESTMENT ADVISORS;BROKERAGE FIRMS;HEDGE FUND;SOVEREIGN WEALTH FUND;CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS;COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP;FIRM;INVESTMENT FUND SELLING AGENT;PEER TO PEER LENDING;PERMANENT ESTABLISHMENT;SOLE PROPRIETORSHIP;CORPORATE;ASSOCIATION/SOCIAL ORGANIZATIONS;STATE OWNED ENTERPRISES;CENTRAL BANK;STATE OWNED COMPANY;DIOCESE;CONFERENCE;CONGREGATION;COOPERATIVES;INTERNATIONAL ORGANIZATION;POLITICAL PARTIES;PARTNERSHIP;EDUCATIONAL INSTITUTION;MUTUAL FUNDS (MF);SECURITIES COMPANY (SC);PENSION FUNDS (PF);FINANCIAL INSTITUTIONAL (IB);INSURANCE (IS);FOUNDATION (FD);INDIVIDUAL (ID);
31-Mar-2026;AMAR;BANK AMAR INDONESIA Tbk;415,722,453;0;0;0;0;1,153,900,058;4,411,600;0;1,128,000;0;0;821,275;100;0;7,832,400;0;0;0;0;16,129,462,719;0;0;0;0;0;0;0;0;0;0;0;0;19,419,683;30,351,071;0;925,148;0;176;433,309,077;18,197,283,760
31-Mar-2026;AMFG;ASAHIMAS FLAT GLASS Tbk;1,071,300;0;0;0;0;1,422,300;0;0;82;83;0;0;1,600;0;0;0;0;0;0;34,024,600;0;0;55,300;0;0;0;99,300;0;0;0;0;0;329,800;12,619,735;162,700;36,900;138,300;76,900;35,500,600;85,539,500
31-Mar-2026;AMIN;ATELIERS MECANIQUES D`INDONESIE Tbk;0;0;0;0;0;0;0;11,901,000;78,800;0;0;0;2,821,800;0;0;0;0;17,438,300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220,600;0;0;0;0;316,739,500;349,200,000
31-Mar-2026;AMMN;AMMAN MINERAL INTERNASIONAL Tbk;549,778,078;100,060,383;1,828,184,661;208,481,152;0;56,725,200;1,386,735,705;264,661,571;62,580,535;2,648,817;4,203,700;164,776,510;191,458,229;145,910;2,074,060;0;0;0;61,914,230;63,757,851,595;43,200;2,920,224;218,585,800;18,195,900;0;300,000;0;0;282,600;0;1,560,500;10,217,300;1,395,295,159;199,037,316;517,090,518;12,189,171;286,247,247;7,792,700;1,206,179,685;72,518,217,656
31-Mar-2026;AMMS;AGUNG MENJANGAN MAS Tbk;300;0;100,000;0;0;0;0;700,000;61,892,343;0;0;0;100;0;0;0;0;0;0;929,997,317;0;0;0;0;0;0;0;0;0;0;0;0;0;242,179;0;0;0;38;242,364,525;1,235,296,802
31-Mar-2026;AMOR;ASHMORE ASSET MANAGEMENT INDONESIA Tbk;2,136,400;0;0;0;0;270,000;0;0;1,105,400;0;0;0;150,100;0;0;0;0;0;100;352,431,300;0;0;0;0;0;0;0;0;0;0;0;0;1,807,946;27,851,000;0;0;19,351,854;0;482,998,300;888,102,400
31-Mar-2026;AMRT;SUMBER ALFARIA TRIJAYA Tbk;122,483,532;305,484,157;17,451,753;316,863,335;0;111,250,956;791,254,683;151,294,786;173,152,520;627,587;35,565,464;203,300,874;8,152,019;1,319,773;2,034,701,026;0;0;0;0;25,010,832,507;65,400;21,118,100;337,914,947;23,351,800;0;0;0;20,438,901;561,500;0;177,419,365;10,464,700;5,403,103,107;9,425,578;1,919,089,913;20,335,293;400,678,834;14,653,300;3,882,145,990;41,524,501,700
31-Mar-2026;ANDI;ANDIRA AGRO Tbk;0;0;5,664,000;0;0;0;0;8;21,711,100;0;0;0;5,100;833,940;0;543,981;0;0;0;810,412,392;0;19,219,105;0;143,100;0;0;0;26;0;0;0;0;1,017,794,267;245,072,747;420,600;0;1,366,550;110,879;2,576,672,205;4,699,970,000
31-Mar-2026;ANJT;AUSTINDO NUSANTARA JAYA Tbk;4,900;0;0;0;0;0;0;0;718,000;0;0;0;100;0;0;0;0;0;0;3,299,909,382;0;0;0;0;0;0;0;0;0;0;0;0;100;312,400;0;0;0;0;53,230,118;3,354,175,000
31-Mar-2026;ANTM;ANEKA TAMBANG Tbk;294,633,195;160,616,839;48,247,955;87,403,245;10,000;21,862,309;479,661,511;21,544,441;169,065,899;34,716,491;192,802,900;300,023,106;11,548,898;4,825,200;175,000;125,000;0;0;3,600;97,723,983;0;37,168,810;62,448,308;37,849,100;0;150,000;460,900;17,010,200;10,921,400;0;20,738,962;14,657,800;2,369,167,824;78,633,193;992,541,624;83,208,408;759,087,655;118,493,951;1,845,643,785;8,373,171,492
